weeks_on_list,publisher,title,author,contributor,age_group,published_date,list_name
22,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-04-11,Hardcover Fiction
1,Atria,THE BOUNTY,Janet Evanovich and Steve Hamilton,by Janet Evanovich and Steve Hamilton,,2021-04-11,Hardcover Fiction
4,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-04-11,Hardcover Fiction
4,Putnam,DARK SKY,C.J. Box,by C.J. Box,,2021-04-11,Hardcover Fiction
4,Holt,WE BEGIN AT THE END,Chris Whitaker,by Chris Whitaker,,2021-04-11,Hardcover Fiction
43,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-04-11,Hardcover Fiction
1,Putnam,DOUBLE JEOPARDY,Stuart Woods,by Stuart Woods,,2021-04-11,Hardcover Fiction
4,Park Row,THE LOST APOTHECARY,Sarah Penner,by Sarah Penner,,2021-04-11,Hardcover Fiction
133,Putnam,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,2021-04-11,Hardcover Fiction
1,Grand Central,WIN,Harlan Coben,by Harlan Coben,,2021-04-04,Hardcover Fiction
7,St. Martin's,THE FOUR WINDS,Kristin Hannah,by Kristin Hannah,,2021-04-04,Hardcover Fiction
3,Atria/Emily Bestler,LIFE AFTER DEATH,Sister Souljah,by Sister Souljah,,2021-04-04,Hardcover Fiction
16,Viking,THE MIDNIGHT LIBRARY,Matt Haig,by Matt Haig,,2021-04-04,Hardcover Fiction
3,Knopf,KLARA AND THE SUN,Kazuo Ishiguro,by Kazuo Ishiguro,,2021-04-04,Hardcover Fiction
21,Tor/Forge,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,by V.E. Schwab,,2021-04-04,Hardcover Fiction
3,Putnam,DARK SKY,C.J. Box,by C.J. Box,,2021-04-04,Hardcover Fiction
3,Holt,WE BEGIN AT THE END,Chris Whitaker,by Chris Whitaker,,2021-04-04,Hardcover Fiction
1,Ace,WILD SIGN,Patricia Briggs,by Patricia Briggs,,2021-04-04,Hardcover Fiction
42,Riverhead,THE VANISHING HALF,Brit Bennett,by Brit Bennett,,2021-04-04,Hardcover Fiction
2,Putnam,FAST ICE,Clive Cussler and Graham Brown,by Clive Cussler and Graham Brown,,2021-04-04,Hardcover Fiction
5,Bloomsbury,A COURT OF SILVER FLAMES,Sarah J. Maas,by Sarah J. Maas,,2021-04-04,Hardcover Fiction
